Item,Price,Date
Cigarettes (200),30.22,1995-01-01
,,1995-02-01
"Round steak, 1 kilogram",10.29,1995-02-01
"Sirloin steak, 1 kilogram",11.43,1995-02-01
"Prime rib roast, 1 kilogram",11.67,1995-02-01
"Blade roast, 1 kilogram",7.21,1995-02-01
"Stewing beef, 1 kilogram",7.27,1995-02-01
"Ground beef, 1 kilogram",3.8,1995-02-01
"Pork chops, 1 kilogram",8.56,1995-02-01
"Chicken, 1 kilogram",3.66,1995-02-01
"Bacon, 500 grams",2.91,1995-02-01
"Wieners, 450 grams",2.5,1995-02-01
"Canned salmon, 213 grams",3.69,1995-02-01
"Homogenized milk, 4 litres",,1995-02-01
"Partly skimmed milk, 4 litres",,1995-02-01
"Butter, 454 grams",2.82,1995-02-01
"Processed cheese slices, 250 grams",2.51,1995-02-01
"Evaporated milk, 385 millilitres",1.01,1995-02-01
"Eggs, 1 dozen",1.55,1995-02-01
"Bread, 675 grams",1.27,1995-02-01
"Soda crackers, 450 grams",1.97,1995-02-01
"Macaroni, 500 grams",0.97,1995-02-01
"Flour, 2.5 kilograms",3.24,1995-02-01
"Corn flakes, 675 grams",3.09,1995-02-01
"Apples, 1 kilogram",2.11,1995-02-01
"Bananas, 1 kilogram",1.27,1995-02-01
"Oranges, 1 kilogram",1.52,1995-02-01
"Apple juice, 1.36 litres",1.43,1995-02-01
"Orange juice, 1 litre",1.66,1995-02-01
"Carrots, 1 kilogram",1.38,1995-02-01
"Mushrooms, 1 kilogram",5.84,1995-02-01
"Onions, 1 kilogram",1.13,1995-02-01
"Potatoes, 4.54 kilograms",2.84,1995-02-01
"French fried potatoes, frozen, 1 kilogram",1.66,1995-02-01
"Baked beans, canned, 398 millilitres",0.82,1995-02-01
"Tomatoes, canned, 796 millilitres",1.26,1995-02-01
"Tomato juice, 1.36 litres",1.43,1995-02-01
"Ketchup, 1 litre",2.3,1995-02-01
"Sugar, white, 2 kilograms",1.95,1995-02-01
"Coffee, roasted, 300 grams",4.15,1995-02-01
"Coffee, instant, 200 grams",7.01,1995-02-01
Tea (72 bags),2.66,1995-02-01
"Cooking or salad oil, 1 litre",2.97,1995-02-01
"Soup, canned, 284 millilitres",0.72,1995-02-01
"Baby food, 128 millilitres",0.53,1995-02-01
"Peanut butter, 500 grams",2.65,1995-02-01
Paper towels (2 rolls),1.23,1995-02-01
Facial tissue (200 tissues),1.2,1995-02-01
Bathroom tissue (4 rolls),1.69,1995-02-01
"Shampoo, 300 millilitres",3.07,1995-02-01
"Deodorant, 60 grams",2.89,1995-02-01
"Toothpaste, 100 millilitres",1.34,1995-02-01
Cigarettes (200),30.17,1995-02-01
,,1995-03-01
"Round steak, 1 kilogram",10.12,1995-03-01
"Sirloin steak, 1 kilogram",11.41,1995-03-01
"Prime rib roast, 1 kilogram",11.78,1995-03-01
"Blade roast, 1 kilogram",7.36,1995-03-01
"Stewing beef, 1 kilogram",7.36,1995-03-01
"Ground beef, 1 kilogram",3.76,1995-03-01
"Pork chops, 1 kilogram",8.53,1995-03-01
"Chicken, 1 kilogram",3.62,1995-03-01
"Bacon, 500 grams",2.78,1995-03-01
"Wieners, 450 grams",2.52,1995-03-01
"Canned salmon, 213 grams",3.66,1995-03-01
"Homogenized milk, 4 litres",,1995-03-01
"Partly skimmed milk, 4 litres",,1995-03-01
"Butter, 454 grams",2.83,1995-03-01
"Processed cheese slices, 250 grams",2.54,1995-03-01
"Evaporated milk, 385 millilitres",1.02,1995-03-01
"Eggs, 1 dozen",1.57,1995-03-01
"Bread, 675 grams",1.24,1995-03-01
"Soda crackers, 450 grams",1.93,1995-03-01
"Macaroni, 500 grams",1.0,1995-03-01
"Flour, 2.5 kilograms",3.26,1995-03-01
"Corn flakes, 675 grams",3.01,1995-03-01
"Apples, 1 kilogram",2.21,1995-03-01
"Bananas, 1 kilogram",1.38,1995-03-01
"Oranges, 1 kilogram",1.44,1995-03-01
"Apple juice, 1.36 litres",1.41,1995-03-01
"Orange juice, 1 litre",1.65,1995-03-01
"Carrots, 1 kilogram",1.45,1995-03-01
"Mushrooms, 1 kilogram",5.91,1995-03-01
"Onions, 1 kilogram",1.22,1995-03-01
"Potatoes, 4.54 kilograms",2.85,1995-03-01
"French fried potatoes, frozen, 1 kilogram",1.67,1995-03-01
"Baked beans, canned, 398 millilitres",0.81,1995-03-01
"Tomatoes, canned, 796 millilitres",1.26,1995-03-01
"Tomato juice, 1.36 litres",1.41,1995-03-01
"Ketchup, 1 litre",2.31,1995-03-01
"Sugar, white, 2 kilograms",1.93,1995-03-01
"Coffee, roasted, 300 grams",4.04,1995-03-01
"Coffee, instant, 200 grams",6.91,1995-03-01
Tea (72 bags),2.63,1995-03-01
"Cooking or salad oil, 1 litre",2.92,1995-03-01
"Soup, canned, 284 millilitres",0.72,1995-03-01
"Baby food, 128 millilitres",0.53,1995-03-01
"Peanut butter, 500 grams",2.63,1995-03-01
Paper towels (2 rolls),1.22,1995-03-01
Facial tissue (200 tissues),1.22,1995-03-01
Bathroom tissue (4 rolls),1.69,1995-03-01
"Shampoo, 300 millilitres",3.0,1995-03-01
"Deodorant, 60 grams",2.86,1995-03-01
"Toothpaste, 100 millilitres",1.34,1995-03-01
Cigarettes (200),30.81,1995-03-01
,,1995-04-01
"Round steak, 1 kilogram",10.38,1995-04-01
"Sirloin steak, 1 kilogram",11.57,1995-04-01
"Prime rib roast, 1 kilogram",11.32,1995-04-01
"Blade roast, 1 kilogram",7.15,1995-04-01
"Stewing beef, 1 kilogram",7.25,1995-04-01
"Ground beef, 1 kilogram",3.83,1995-04-01
"Pork chops, 1 kilogram",8.7,1995-04-01
"Chicken, 1 kilogram",3.71,1995-04-01
"Bacon, 500 grams",2.68,1995-04-01
"Wieners, 450 grams",2.47,1995-04-01
"Canned salmon, 213 grams",3.61,1995-04-01
"Homogenized milk, 4 litres",,1995-04-01
"Partly skimmed milk, 4 litres",,1995-04-01
"Butter, 454 grams",2.84,1995-04-01
"Processed cheese slices, 250 grams",2.54,1995-04-01
"Evaporated milk, 385 millilitres",1.02,1995-04-01
"Eggs, 1 dozen",1.59,1995-04-01
"Bread, 675 grams",1.26,1995-04-01
"Soda crackers, 450 grams",1.94,1995-04-01
"Macaroni, 500 grams",0.98,1995-04-01
"Flour, 2.5 kilograms",3.17,1995-04-01
"Corn flakes, 675 grams",2.99,1995-04-01
"Apples, 1 kilogram",2.22,1995-04-01
"Bananas, 1 kilogram",1.32,1995-04-01
"Oranges, 1 kilogram",1.69,1995-04-01
"Apple juice, 1.36 litres",1.42,1995-04-01
"Orange juice, 1 litre",1.67,1995-04-01
"Carrots, 1 kilogram",1.71,1995-04-01
"Mushrooms, 1 kilogram",5.87,1995-04-01
"Onions, 1 kilogram",1.33,1995-04-01
"Potatoes, 4.54 kilograms",2.88,1995-04-01
"French fried potatoes, frozen, 1 kilogram",1.69,1995-04-01
"Baked beans, canned, 398 millilitres",0.8,1995-04-01
"Tomatoes, canned, 796 millilitres",1.23,1995-04-01
"Tomato juice, 1.36 litres",1.37,1995-04-01
"Ketchup, 1 litre",2.23,1995-04-01
"Sugar, white, 2 kilograms",1.96,1995-04-01
"Coffee, roasted, 300 grams",3.99,1995-04-01
"Coffee, instant, 200 grams",6.95,1995-04-01
Tea (72 bags),2.61,1995-04-01
"Cooking or salad oil, 1 litre",2.96,1995-04-01
"Soup, canned, 284 millilitres",0.71,1995-04-01
"Baby food, 128 millilitres",0.52,1995-04-01
"Peanut butter, 500 grams",2.6,1995-04-01
Paper towels (2 rolls),1.26,1995-04-01
Facial tissue (200 tissues),1.23,1995-04-01
Bathroom tissue (4 rolls),1.66,1995-04-01
"Shampoo, 300 millilitres",3.01,1995-04-01
"Deodorant, 60 grams",2.79,1995-04-01
"Toothpaste, 100 millilitres",1.36,1995-04-01
Cigarettes (200),30.73,1995-04-01
,,1995-05-01
"Round steak, 1 kilogram",10.0,1995-05-01
"Sirloin steak, 1 kilogram",11.37,1995-05-01
"Prime rib roast, 1 kilogram",12.01,1995-05-01
"Blade roast, 1 kilogram",6.67,1995-05-01
"Stewing beef, 1 kilogram",7.26,1995-05-01
"Ground beef, 1 kilogram",3.79,1995-05-01
"Pork chops, 1 kilogram",8.38,1995-05-01
"Chicken, 1 kilogram",3.71,1995-05-01
"Bacon, 500 grams",2.78,1995-05-01
"Wieners, 450 grams",2.35,1995-05-01
"Canned salmon, 213 grams",3.66,1995-05-01
"Homogenized milk, 4 litres",,1995-05-01
"Partly skimmed milk, 4 litres",,1995-05-01
"Butter, 454 grams",2.83,1995-05-01
"Processed cheese slices, 250 grams",2.53,1995-05-01
"Evaporated milk, 385 millilitres",1.04,1995-05-01
"Eggs, 1 dozen",1.59,1995-05-01
"Bread, 675 grams",1.25,1995-05-01
"Soda crackers, 450 grams",1.87,1995-05-01
"Macaroni, 500 grams",1.0,1995-05-01
"Flour, 2.5 kilograms",3.3,1995-05-01
"Corn flakes, 675 grams",3.0,1995-05-01
"Apples, 1 kilogram",2.24,1995-05-01
"Bananas, 1 kilogram",1.28,1995-05-01
"Oranges, 1 kilogram",1.79,1995-05-01
"Apple juice, 1.36 litres",1.41,1995-05-01
"Orange juice, 1 litre",1.68,1995-05-01
"Carrots, 1 kilogram",1.82,1995-05-01
"Mushrooms, 1 kilogram",5.84,1995-05-01
"Onions, 1 kilogram",1.43,1995-05-01
"Potatoes, 4.54 kilograms",2.95,1995-05-01
"French fried potatoes, frozen, 1 kilogram",1.66,1995-05-01
"Baked beans, canned, 398 millilitres",0.8,1995-05-01
"Tomatoes, canned, 796 millilitres",1.22,1995-05-01
"Tomato juice, 1.36 litres",1.41,1995-05-01
"Ketchup, 1 litre",2.22,1995-05-01
"Sugar, white, 2 kilograms",1.97,1995-05-01
"Coffee, roasted, 300 grams",4.03,1995-05-01
"Coffee, instant, 200 grams",6.9,1995-05-01
Tea (72 bags),2.67,1995-05-01
"Cooking or salad oil, 1 litre",3.03,1995-05-01
"Soup, canned, 284 millilitres",0.73,1995-05-01
"Baby food, 128 millilitres",0.54,1995-05-01
"Peanut butter, 500 grams",2.59,1995-05-01
Paper towels (2 rolls),1.32,1995-05-01
Facial tissue (200 tissues),1.3,1995-05-01
Bathroom tissue (4 rolls),1.77,1995-05-01
"Shampoo, 300 millilitres",2.96,1995-05-01
"Deodorant, 60 grams",2.77,1995-05-01
"Toothpaste, 100 millilitres",1.36,1995-05-01
Cigarettes (200),31.09,1995-05-01
,,1995-06-01
"Round steak, 1 kilogram",10.19,1995-06-01
"Sirloin steak, 1 kilogram",11.83,1995-06-01
"Prime rib roast, 1 kilogram",12.25,1995-06-01
"Blade roast, 1 kilogram",6.49,1995-06-01
"Stewing beef, 1 kilogram",7.19,1995-06-01
"Ground beef, 1 kilogram",3.77,1995-06-01
"Pork chops, 1 kilogram",8.29,1995-06-01
"Chicken, 1 kilogram",3.65,1995-06-01
"Bacon, 500 grams",2.8,1995-06-01
"Wieners, 450 grams",2.29,1995-06-01
"Canned salmon, 213 grams",3.67,1995-06-01
"Homogenized milk, 4 litres",,1995-06-01
"Partly skimmed milk, 4 litres",,1995-06-01
"Butter, 454 grams",2.85,1995-06-01
"Processed cheese slices, 250 grams",2.55,1995-06-01
"Evaporated milk, 385 millilitres",1.05,1995-06-01
"Eggs, 1 dozen",1.59,1995-06-01
"Bread, 675 grams",1.25,1995-06-01
"Soda crackers, 450 grams",1.91,1995-06-01
"Macaroni, 500 grams",1.0,1995-06-01
"Flour, 2.5 kilograms",3.33,1995-06-01
"Corn flakes, 675 grams",2.97,1995-06-01
"Apples, 1 kilogram",2.27,1995-06-01
"Bananas, 1 kilogram",1.28,1995-06-01
"Oranges, 1 kilogram",1.67,1995-06-01
"Apple juice, 1.36 litres",1.43,1995-06-01
"Orange juice, 1 litre",1.65,1995-06-01
"Carrots, 1 kilogram",1.77,1995-06-01
"Mushrooms, 1 kilogram",5.98,1995-06-01
"Onions, 1 kilogram",1.4,1995-06-01
"Potatoes, 4.54 kilograms",3.58,1995-06-01
"French fried potatoes, frozen, 1 kilogram",1.68,1995-06-01
"Baked beans, canned, 398 millilitres",0.8,1995-06-01
"Tomatoes, canned, 796 millilitres",1.25,1995-06-01
"Tomato juice, 1.36 litres",1.43,1995-06-01
"Ketchup, 1 litre",2.19,1995-06-01
"Sugar, white, 2 kilograms",1.95,1995-06-01
"Coffee, roasted, 300 grams",4.03,1995-06-01
"Coffee, instant, 200 grams",6.85,1995-06-01
Tea (72 bags),2.69,1995-06-01
"Cooking or salad oil, 1 litre",3.07,1995-06-01
"Soup, canned, 284 millilitres",0.73,1995-06-01
"Baby food, 128 millilitres",0.53,1995-06-01
"Peanut butter, 500 grams",2.58,1995-06-01
Paper towels (2 rolls),1.36,1995-06-01
Facial tissue (200 tissues),1.34,1995-06-01
Bathroom tissue (4 rolls),1.8,1995-06-01
"Shampoo, 300 millilitres",2.99,1995-06-01
"Deodorant, 60 grams",2.75,1995-06-01
"Toothpaste, 100 millilitres",1.36,1995-06-01
Cigarettes (200),31.2,1995-06-01
,,1995-07-01
"Round steak, 1 kilogram",10.26,1995-07-01
"Sirloin steak, 1 kilogram",12.07,1995-07-01
"Prime rib roast, 1 kilogram",12.43,1995-07-01
"Blade roast, 1 kilogram",6.94,1995-07-01
"Stewing beef, 1 kilogram",7.22,1995-07-01
"Ground beef, 1 kilogram",3.72,1995-07-01
"Pork chops, 1 kilogram",8.66,1995-07-01
"Chicken, 1 kilogram",3.7,1995-07-01
"Bacon, 500 grams",2.76,1995-07-01
"Wieners, 450 grams",2.29,1995-07-01
"Canned salmon, 213 grams",3.65,1995-07-01
"Homogenized milk, 4 litres",,1995-07-01
"Partly skimmed milk, 4 litres",,1995-07-01
"Butter, 454 grams",2.84,1995-07-01
"Processed cheese slices, 250 grams",2.54,1995-07-01
"Evaporated milk, 385 millilitres",1.04,1995-07-01
"Eggs, 1 dozen",1.6,1995-07-01
"Bread, 675 grams",1.24,1995-07-01
"Soda crackers, 450 grams",1.93,1995-07-01
"Macaroni, 500 grams",0.99,1995-07-01
"Flour, 2.5 kilograms",3.33,1995-07-01
"Corn flakes, 675 grams",2.99,1995-07-01
"Apples, 1 kilogram",2.37,1995-07-01
"Bananas, 1 kilogram",1.43,1995-07-01
"Oranges, 1 kilogram",1.92,1995-07-01
"Apple juice, 1.36 litres",1.45,1995-07-01
"Orange juice, 1 litre",1.67,1995-07-01
"Carrots, 1 kilogram",1.68,1995-07-01
"Mushrooms, 1 kilogram",5.75,1995-07-01
"Onions, 1 kilogram",1.54,1995-07-01
"Potatoes, 4.54 kilograms",4.37,1995-07-01
"French fried potatoes, frozen, 1 kilogram",1.67,1995-07-01
"Baked beans, canned, 398 millilitres",0.79,1995-07-01
"Tomatoes, canned, 796 millilitres",1.26,1995-07-01
"Tomato juice, 1.36 litres",1.45,1995-07-01
"Ketchup, 1 litre",2.23,1995-07-01
"Sugar, white, 2 kilograms",1.95,1995-07-01
"Coffee, roasted, 300 grams",3.97,1995-07-01
"Coffee, instant, 200 grams",6.84,1995-07-01
Tea (72 bags),2.66,1995-07-01
"Cooking or salad oil, 1 litre",3.02,1995-07-01
"Soup, canned, 284 millilitres",0.73,1995-07-01
"Baby food, 128 millilitres",0.53,1995-07-01
"Peanut butter, 500 grams",2.57,1995-07-01
Paper towels (2 rolls),1.42,1995-07-01
Facial tissue (200 tissues),1.39,1995-07-01
Bathroom tissue (4 rolls),1.83,1995-07-01
"Shampoo, 300 millilitres",3.01,1995-07-01
"Deodorant, 60 grams",2.76,1995-07-01
"Toothpaste, 100 millilitres",1.35,1995-07-01
Cigarettes (200),31.2,1995-07-01
,,1995-08-01
"Round steak, 1 kilogram",10.07,1995-08-01
"Sirloin steak, 1 kilogram",11.8,1995-08-01
"Prime rib roast, 1 kilogram",12.81,1995-08-01
"Blade roast, 1 kilogram",6.78,1995-08-01
"Stewing beef, 1 kilogram",7.12,1995-08-01
"Ground beef, 1 kilogram",3.7,1995-08-01
"Pork chops, 1 kilogram",9.11,1995-08-01
"Chicken, 1 kilogram",3.7,1995-08-01
"Bacon, 500 grams",2.78,1995-08-01
"Wieners, 450 grams",2.29,1995-08-01
"Canned salmon, 213 grams",3.68,1995-08-01
"Homogenized milk, 4 litres",,1995-08-01
"Partly skimmed milk, 4 litres",,1995-08-01
"Butter, 454 grams",2.84,1995-08-01
"Processed cheese slices, 250 grams",2.52,1995-08-01
"Evaporated milk, 385 millilitres",1.03,1995-08-01
"Eggs, 1 dozen",1.62,1995-08-01
"Bread, 675 grams",1.25,1995-08-01
"Soda crackers, 450 grams",1.94,1995-08-01
"Macaroni, 500 grams",0.99,1995-08-01
"Flour, 2.5 kilograms",3.4,1995-08-01
"Corn flakes, 675 grams",2.95,1995-08-01
"Apples, 1 kilogram",2.44,1995-08-01
"Bananas, 1 kilogram",1.44,1995-08-01
"Oranges, 1 kilogram",2.06,1995-08-01
"Apple juice, 1.36 litres",1.46,1995-08-01
"Orange juice, 1 litre",1.67,1995-08-01
"Carrots, 1 kilogram",1.14,1995-08-01
"Mushrooms, 1 kilogram",5.79,1995-08-01
"Onions, 1 kilogram",1.44,1995-08-01
"Potatoes, 4.54 kilograms",3.44,1995-08-01
"French fried potatoes, frozen, 1 kilogram",1.71,1995-08-01
"Baked beans, canned, 398 millilitres",0.79,1995-08-01
"Tomatoes, canned, 796 millilitres",1.24,1995-08-01
"Tomato juice, 1.36 litres",1.44,1995-08-01
"Ketchup, 1 litre",2.24,1995-08-01
"Sugar, white, 2 kilograms",1.96,1995-08-01
"Coffee, roasted, 300 grams",3.94,1995-08-01
"Coffee, instant, 200 grams",6.78,1995-08-01
Tea (72 bags),2.67,1995-08-01
"Cooking or salad oil, 1 litre",3.04,1995-08-01
"Soup, canned, 284 millilitres",0.74,1995-08-01
"Baby food, 128 millilitres",0.53,1995-08-01
"Peanut butter, 500 grams",2.59,1995-08-01
Paper towels (2 rolls),1.51,1995-08-01
Facial tissue (200 tissues),1.42,1995-08-01
Bathroom tissue (4 rolls),1.9,1995-08-01
"Shampoo, 300 millilitres",2.92,1995-08-01
"Deodorant, 60 grams",2.78,1995-08-01
"Toothpaste, 100 millilitres",1.35,1995-08-01
Cigarettes (200),31.1,1995-08-01
,,1995-09-01
"Round steak, 1 kilogram",10.08,1995-09-01
"Sirloin steak, 1 kilogram",11.7,1995-09-01
"Prime rib roast, 1 kilogram",12.08,1995-09-01
"Blade roast, 1 kilogram",6.49,1995-09-01
"Stewing beef, 1 kilogram",6.84,1995-09-01
"Ground beef, 1 kilogram",3.74,1995-09-01
"Pork chops, 1 kilogram",8.9,1995-09-01
"Chicken, 1 kilogram",3.77,1995-09-01
"Bacon, 500 grams",2.95,1995-09-01
"Wieners, 450 grams",2.43,1995-09-01
"Canned salmon, 213 grams",3.69,1995-09-01
"Homogenized milk, 4 litres",,1995-09-01
"Partly skimmed milk, 4 litres",,1995-09-01
"Butter, 454 grams",2.86,1995-09-01
"Processed cheese slices, 250 grams",2.52,1995-09-01
"Evaporated milk, 385 millilitres",1.04,1995-09-01
"Eggs, 1 dozen",1.62,1995-09-01
"Bread, 675 grams",1.29,1995-09-01
"Soda crackers, 450 grams",1.94,1995-09-01
"Macaroni, 500 grams",0.99,1995-09-01
"Flour, 2.5 kilograms",3.38,1995-09-01
"Corn flakes, 675 grams",2.96,1995-09-01
"Apples, 1 kilogram",2.4,1995-09-01
"Bananas, 1 kilogram",1.22,1995-09-01
"Oranges, 1 kilogram",2.14,1995-09-01
"Apple juice, 1.36 litres",1.5,1995-09-01
"Orange juice, 1 litre",1.68,1995-09-01
"Carrots, 1 kilogram",0.94,1995-09-01
"Mushrooms, 1 kilogram",5.77,1995-09-01
"Onions, 1 kilogram",1.0,1995-09-01
"Potatoes, 4.54 kilograms",2.46,1995-09-01
"French fried potatoes, frozen, 1 kilogram",1.65,1995-09-01
"Baked beans, canned, 398 millilitres",0.79,1995-09-01
"Tomatoes, canned, 796 millilitres",1.24,1995-09-01
"Tomato juice, 1.36 litres",1.46,1995-09-01
"Ketchup, 1 litre",2.31,1995-09-01
"Sugar, white, 2 kilograms",1.97,1995-09-01
"Coffee, roasted, 300 grams",3.91,1995-09-01
"Coffee, instant, 200 grams",6.72,1995-09-01
Tea (72 bags),2.67,1995-09-01
"Cooking or salad oil, 1 litre",3.06,1995-09-01
"Soup, canned, 284 millilitres",0.72,1995-09-01
"Baby food, 128 millilitres",0.52,1995-09-01
"Peanut butter, 500 grams",2.59,1995-09-01
Paper towels (2 rolls),1.52,1995-09-01
Facial tissue (200 tissues),1.46,1995-09-01
Bathroom tissue (4 rolls),1.9,1995-09-01
"Shampoo, 300 millilitres",2.89,1995-09-01
"Deodorant, 60 grams",2.78,1995-09-01
"Toothpaste, 100 millilitres",1.31,1995-09-01
Cigarettes (200),31.22,1995-09-01
,,1995-10-01
"Round steak, 1 kilogram",9.92,1995-10-01
"Sirloin steak, 1 kilogram",11.48,1995-10-01
"Prime rib roast, 1 kilogram",11.82,1995-10-01
"Blade roast, 1 kilogram",6.75,1995-10-01
"Stewing beef, 1 kilogram",7.05,1995-10-01
"Ground beef, 1 kilogram",3.82,1995-10-01
"Pork chops, 1 kilogram",8.93,1995-10-01
"Chicken, 1 kilogram",3.8,1995-10-01
"Bacon, 500 grams",3.05,1995-10-01
"Wieners, 450 grams",2.47,1995-10-01
"Canned salmon, 213 grams",3.69,1995-10-01
"Homogenized milk, 4 litres",,1995-10-01
"Partly skimmed milk, 4 litres",,1995-10-01
"Butter, 454 grams",2.85,1995-10-01
"Processed cheese slices, 250 grams",2.54,1995-10-01
"Evaporated milk, 385 millilitres",1.02,1995-10-01
"Eggs, 1 dozen",1.63,1995-10-01
"Bread, 675 grams",1.29,1995-10-01
"Soda crackers, 450 grams",1.93,1995-10-01
"Macaroni, 500 grams",0.97,1995-10-01
"Flour, 2.5 kilograms",3.37,1995-10-01
"Corn flakes, 675 grams",3.08,1995-10-01
"Apples, 1 kilogram",2.12,1995-10-01
"Bananas, 1 kilogram",1.28,1995-10-01
"Oranges, 1 kilogram",2.31,1995-10-01
"Apple juice, 1.36 litres",1.47,1995-10-01
"Orange juice, 1 litre",1.68,1995-10-01
"Carrots, 1 kilogram",0.93,1995-10-01
"Mushrooms, 1 kilogram",5.72,1995-10-01
"Onions, 1 kilogram",0.92,1995-10-01
"Potatoes, 4.54 kilograms",2.36,1995-10-01
"French fried potatoes, frozen, 1 kilogram",1.67,1995-10-01
"Baked beans, canned, 398 millilitres",0.78,1995-10-01
"Tomatoes, canned, 796 millilitres",1.24,1995-10-01
"Tomato juice, 1.36 litres",1.44,1995-10-01
"Ketchup, 1 litre",2.27,1995-10-01
"Sugar, white, 2 kilograms",1.96,1995-10-01
"Coffee, roasted, 300 grams",3.8,1995-10-01
"Coffee, instant, 200 grams",6.67,1995-10-01
Tea (72 bags),2.65,1995-10-01
"Cooking or salad oil, 1 litre",3.08,1995-10-01
"Soup, canned, 284 millilitres",0.74,1995-10-01
"Baby food, 128 millilitres",0.52,1995-10-01
"Peanut butter, 500 grams",2.59,1995-10-01
Paper towels (2 rolls),1.59,1995-10-01
Facial tissue (200 tissues),1.46,1995-10-01
Bathroom tissue (4 rolls),1.95,1995-10-01
"Shampoo, 300 millilitres",2.95,1995-10-01
"Deodorant, 60 grams",2.77,1995-10-01
"Toothpaste, 100 millilitres",1.32,1995-10-01
Cigarettes (200),31.2,1995-10-01
,,1995-11-01
"Round steak, 1 kilogram",9.49,1995-11-01
"Sirloin steak, 1 kilogram",11.11,1995-11-01
"Prime rib roast, 1 kilogram",12.02,1995-11-01
"Blade roast, 1 kilogram",6.62,1995-11-01
"Stewing beef, 1 kilogram",7.01,1995-11-01
"Ground beef, 1 kilogram",3.8,1995-11-01
"Pork chops, 1 kilogram",8.59,1995-11-01
"Chicken, 1 kilogram",3.75,1995-11-01
"Bacon, 500 grams",3.03,1995-11-01
"Wieners, 450 grams",2.48,1995-11-01
"Canned salmon, 213 grams",3.69,1995-11-01
"Homogenized milk, 4 litres",,1995-11-01
"Partly skimmed milk, 4 litres",,1995-11-01
"Butter, 454 grams",2.86,1995-11-01
"Processed cheese slices, 250 grams",2.55,1995-11-01
"Evaporated milk, 385 millilitres",1.03,1995-11-01
"Eggs, 1 dozen",1.64,1995-11-01
"Bread, 675 grams",1.31,1995-11-01
"Soda crackers, 450 grams",1.96,1995-11-01
"Macaroni, 500 grams",0.99,1995-11-01
"Flour, 2.5 kilograms",3.36,1995-11-01
"Corn flakes, 675 grams",3.03,1995-11-01
"Apples, 1 kilogram",1.97,1995-11-01
"Bananas, 1 kilogram",1.18,1995-11-01
"Oranges, 1 kilogram",2.3,1995-11-01
"Apple juice, 1.36 litres",1.62,1995-11-01
"Orange juice, 1 litre",1.65,1995-11-01
"Carrots, 1 kilogram",0.94,1995-11-01
"Mushrooms, 1 kilogram",5.72,1995-11-01
"Onions, 1 kilogram",0.88,1995-11-01
"Potatoes, 4.54 kilograms",2.42,1995-11-01
"French fried potatoes, frozen, 1 kilogram",1.65,1995-11-01
"Baked beans, canned, 398 millilitres",0.82,1995-11-01
"Tomatoes, canned, 796 millilitres",1.22,1995-11-01
"Tomato juice, 1.36 litres",1.44,1995-11-01
